32
ma01,sp1,3,400.0,1200.0
ma01,sp2,2,300.0,600.0
ma02,sp3,4,250.0,1000.0
ma03,sp4,1,500.0,500.0
ma03,sp5,3,320.0,960.0
ma04,sp6,2,410.0,820.0
ma05,sp7,3,390.0,1170.0
ma05,sp8,1,720.0,720.0
ma06,sp9,2,210.0,420.0
ma06,sp1,2,400.0,800.0
ma07,sp2,4,320.0,1280.0
ma08,sp3,3,750.0,2250.0
ma08,sp4,1,300.0,300.0
ma09,sp5,2,710.0,1420.0
ma10,sp6,1,330.0,330.0
ma10,sp7,3,640.0,1920.0
ma11,sp8,2,260.0,520.0
ma12,sp9,3,405.0,1215.0
ma12,sp10,1,950.0,950.0
ma13,sp1,2,520.0,1040.0
ma14,sp2,4,750.0,3000.0
ma14,sp3,1,470.0,470.0
ma15,sp4,3,310.0,930.0
ma16,sp5,2,295.0,590.0
ma16,sp6,1,920.0,920.0
ma17,sp7,3,1080.0,3240.0
ma18,sp8,2,230.0,460.0
ma18,sp9,1,745.0,745.0
ma19,sp10,3,470.0,1410.0
ma20,sp1,2,525.0,1050.0
ma20,sp2,1,655.0,655.0
ma20,sp3,2,715.0,1430.0
