30
HD001,SP01,2,300000.0,600000.0
HD001,SP02,1,240000.0,240000.0
HD002,SP03,3,360000.0,1080000.0
HD003,SP04,2,180000.0,360000.0
HD003,SP05,4,220000.0,880000.0
HD004,SP06,1,440000.0,440000.0
HD005,SP07,3,260000.0,780000.0
HD005,SP08,2,320000.0,640000.0
HD006,SP09,5,160000.0,800000.0
HD007,SP10,2,380000.0,760000.0
HD007,SP11,1,500000.0,500000.0
HD008,SP12,3,340000.0,1020000.0
HD009,SP13,2,280000.0,560000.0
HD009,SP14,1,420000.0,420000.0
HD010,SP15,4,240000.0,960000.0
HD011,SP16,2,310000.0,620000.0
HD012,SP17,3,370000.0,1110000.0
HD012,SP18,1,190000.0,190000.0
HD013,SP19,2,270000.0,540000.0
HD014,SP20,3,330000.0,990000.0
HD014,SP21,1,410000.0,410000.0
HD015,SP22,4,230000.0,920000.0
HD016,SP23,2,290000.0,580000.0
HD017,SP24,3,350000.0,1050000.0
HD018,SP25,1,390000.0,390000.0
HD018,SP26,2,250000.0,500000.0
HD019,SP27,3,310000.0,930000.0
HD020,SP28,2,370000.0,740000.0
HD020,SP29,1,430000.0,430000.0
HD020,SP30,2,210000.0,420000.0
